id,name,currentPrice,categoryId,categoryName,marketId,marketProvider,oldPrice,brand,priceLabel,saleSpecification,imageUrl
49cc0043-57ba-40dc-8caf-680940025deb," Bidon dla dzieci ORSI, 420 ml, kr&oacute;lik ",16.99,5dcb13df-15cf-4b4d-9ed4-e8d3188b1cf6,Sport i hobby,a29a43c6-b9ec-4873-b2c4-2861f09dc1c9,Biedronka,19.99," AMBITION JUNIOR ","najniższa cena, kt&oacute;ra obowiązywała w&nbsp;okresie 30&nbsp;dni przed wprowadzeniem obniżki"," KUP 2 - DOSTAWA GRATIS ",
cc88872a-8d93-4be8-ac35-5d9a01f0bfd2," Rower elektryczny miejski Oolter Classic, 20&quot;, niska rama, czerwony ",5699.00,5dcb13df-15cf-4b4d-9ed4-e8d3188b1cf6,Sport i hobby,a29a43c6-b9ec-4873-b2c4-2861f09dc1c9,Biedronka,," OOLTER ",,,
bca86f37-e4b3-48d7-851c-ffed606a08b6," Rower elektryczny miejski Oolter Classic, 20&quot;, wysoka rama, niebieski ",5699.00,5dcb13df-15cf-4b4d-9ed4-e8d3188b1cf6,Sport i hobby,a29a43c6-b9ec-4873-b2c4-2861f09dc1c9,Biedronka,," OOLTER ",,,
9661b535-13c6-4bb5-869c-346afddbb236," Zestaw ochraniaczy Armor, rozmiar M, niebieskie ",39.99,5dcb13df-15cf-4b4d-9ed4-e8d3188b1cf6,Sport i hobby,a29a43c6-b9ec-4873-b2c4-2861f09dc1c9,Biedronka,47.99," SPOKEY ","najniższa cena, kt&oacute;ra obowiązywała w&nbsp;okresie 30&nbsp;dni przed wprowadzeniem obniżki"," KUP 2 - DOSTAWA GRATIS ",
ef22cbde-cec2-4128-a79b-68e1983d860a," Zestaw ochraniaczy Armor, rozmiar S, niebieskie ",39.99,5dcb13df-15cf-4b4d-9ed4-e8d3188b1cf6,Sport i hobby,a29a43c6-b9ec-4873-b2c4-2861f09dc1c9,Biedronka,47.99," SPOKEY ","najniższa cena, kt&oacute;ra obowiązywała w&nbsp;okresie 30&nbsp;dni przed wprowadzeniem obniżki"," KUP 2 - DOSTAWA GRATIS ",
1e16231c-97bd-4498-b2e3-ac5c09894b4c," Specjalistyczne rękawiczki rowerowe Expert, rozmiar L, męskie ",49.99,5dcb13df-15cf-4b4d-9ed4-e8d3188b1cf6,Sport i hobby,a29a43c6-b9ec-4873-b2c4-2861f09dc1c9,Biedronka,69.90," SPOKEY ","najniższa cena, kt&oacute;ra obowiązywała w&nbsp;okresie 30&nbsp;dni przed wprowadzeniem obniżki"," KUP 2 - DOSTAWA GRATIS ",
7c9c1f35-507f-4b6a-b2e8-b8792f75b495," Rękawiczki rowerowe Ride, rozmiar XL, męskie, antypoślizgowe ",69.90,5dcb13df-15cf-4b4d-9ed4-e8d3188b1cf6,Sport i hobby,a29a43c6-b9ec-4873-b2c4-2861f09dc1c9,Biedronka,79.90," SPOKEY ","najniższa cena, kt&oacute;ra obowiązywała w&nbsp;okresie 30&nbsp;dni przed wprowadzeniem obniżki"," KUP 2 - DOSTAWA GRATIS ",
4cd00f00-b44b-4c51-b59a-5dc2286e8acc," Zestaw ochraniaczy Shield Pro, rozmiar L, 3 podw&oacute;jne elementy ",69.90,5dcb13df-15cf-4b4d-9ed4-e8d3188b1cf6,Sport i hobby,a29a43c6-b9ec-4873-b2c4-2861f09dc1c9,Biedronka,79.90," SPOKEY ","najniższa cena, kt&oacute;ra obowiązywała w&nbsp;okresie 30&nbsp;dni przed wprowadzeniem obniżki"," KUP 2 - DOSTAWA GRATIS ",
994afcaf-95ed-4c3c-ae49-84e7179c5cad," Rower elektryczny Luna City, 19&rsquo;&rsquo;, biały perłowy ",4799.00,5dcb13df-15cf-4b4d-9ed4-e8d3188b1cf6,Sport i hobby,a29a43c6-b9ec-4873-b2c4-2861f09dc1c9,Biedronka,5999.00," TRYBECO ","najniższa cena, kt&oacute;ra obowiązywała w&nbsp;okresie 30&nbsp;dni przed wprowadzeniem obniżki",,
8fdc53cd-0b1f-4bbd-83ff-8518a2d905a6," Rower elektryczny Luna City, 19&rsquo;&rsquo;, grafitowy ",4799.00,5dcb13df-15cf-4b4d-9ed4-e8d3188b1cf6,Sport i hobby,a29a43c6-b9ec-4873-b2c4-2861f09dc1c9,Biedronka,5999.00," TRYBECO ","najniższa cena, kt&oacute;ra obowiązywała w&nbsp;okresie 30&nbsp;dni przed wprowadzeniem obniżki",,
